two_words,count
of the,31742
in the,21937
to the,13697
on the,12386
will be,11263
university of,9572
for the,8743
if you,8186
and the,7923
to be,7705
at the,6383
with the,5782
is a,5773
n o,5530
it is,5354
hou ect,5058
ect ect,4902
this is,4836
in a,4824
that the,4685
from the,4638
of a,4435
as a,4339
you can,4269
is the,4116
for a,4071
the following,3943
by the,3830
http www,3808
i am,3786
you have,3737
i have,3677
should be,3575
we are,3228
with a,3174
can be,3158
has been,3148
subject re,3128
you are,3035
noida inventory,3002
there is,2951
would be,2942
phishing pot,2924
is not,2825
of this,2797
on a,2782
the conference,2763
we have,2635
e mail,2630
have been,2625
the first,2581
the same,2553
in this,2538
div div,2537
one of,2532
have a,2489
to a,2485
need to,2480
pm to,2461
there are,2423
and i,2417
this email,2381
email address,2378
like to,2373
for your,2360
want to,2352
about the,2294
click here,2281
do not,2257
as well,2242
and a,2242
the company,2228
to get,2212
as the,2210
to make,2195
thank you,2190
enron s,2187
call for,2158
you will,2152
may be,2150
i would,2140
a new,2119
div dir,2090
nbsp div,2070
of your,2068
department of,2064
such as,2006
praveen antal,2004
number of,1994
nbsp nbsp,1978
would like,1976
we will,1965
of our,1918
i will,1903
new york,1890
am to,1889
it s,1885
the world,1851
have to,1847
to do,1846
f r,1845
be a,1832
that you,1832
o de,1824
enron enron,1823
how to,1823
of language,1819
u s,1804
to you,1791
all the,1785
you to,1774
ac uk,1769
at least,1760
is to,1747
that i,1740
it was,1722
to your,1705
the university,1702
to have,1695
let me,1687
well as,1678
guddy kumari,1670
i m,1669
from a,1654
here to,1653
language and,1652
are not,1648
is that,1647
a few,1645
more than,1639
for papers,1620
part of,1616
mailing list,1591
of linguistics,1580
i was,1574
that it,1573
all of,1571
message from,1567
3d 3d,1558
that is,1555
able to,1552
i think,1549
the new,1547
they are,1531
e g,1530
s o,1526
which is,1511
the workshop,1509
me know,1506
nmg nmg,1503
inventory noida,1501
up to,1497
admin admin,1497
do nt,1495
interested in,1492
based on,1485
dir ltr,1475
original message,1472
that we,1461
the most,1453
your email,1449
o que,1441
enron com,1438
use of,1427
some of,1423
to this,1416
i can,1413
sent to,1408
is an,1405
out of,1397
does not,1396
must be,1396
but i,1382
and other,1382
to receive,1382
from our,1351
cc nmg,1336
inventory admin,1336
laptop replacement,1336
you may,1322
nmg noida,1322
admin subject,1320
wish to,1317
into the,1313
of these,1311
you for,1278
your account,1278
not be,1272
the other,1220
we can,1220
the internet,1215
in your,1212
for you,1210
all rights,1207
be sent,1203
over the,1203
do you,1198
s a,1198
rights reserved,1198
cc subject,1186
the best,1186
are the,1181
to me,1180
have any,1180
to send,1173
due to,1171
re laptop,1169
to remove,1164
on this,1162
web site,1155
this message,1144
at http,1135
natural language,1135
ect cc,1133
