three_words,count
click here to,1745
inventory noida inventory,1501
noida inventory noida,1499
cc nmg nmg,1336
noida inventory admin,1334
nmg nmg noida,1322
nmg noida inventory,1322
inventory admin admin,1322
admin admin subject,1320
your email address,1184
subject re laptop,1169
re laptop replacement,1169
admin subject re,1155
to praveen antal,1002
praveen antal cc,1002
laptop replacement hi,1002
pyramid it consulting,998
it consulting pvt,998
consulting pvt ltd,998
remove yourself from,913
to remove yourself,897
yourself from our,847
from guddy kumari,835
guddy kumari sent,835
antal cc nmg,835
here to remove,832
from our emails,826
our emails list,823
if you are,794
br br br,750
to be removed,697
3d 3d 3d,672
thank you for,620
this is a,592
if you have,588
wish to receive,581
on the internet,541
would like to,522
one of the,521
be removed from,519
forward looking statements,517
you can build,508
from praveen antal,501
to guddy kumari,501
guddy kumari cc,501
kumari cc nmg,501
thanks regards praveen,501
regards praveen antal,501
9999 10 6666,501
warm regards guddy,501
regards guddy n,501
guddy n kumar,501
n kumar pyramid,501
kumar pyramid it,501
pvt ltd team,501
ltd team lead,501
team lead rmg,501
lead rmg m,501
rmg m 8800144117,501
m 8800144117 e,501
8800144117 e web,501
technology strength you,501
strength you can,501
can build on,501
sent june 21,501
june 21 2022,501
21 2022 5,501
praveen antal sent,497
e web technology,497
web technology strength,497
replacement hi praveen,495
build on from,495
in the subject,480
the company s,459
you will be,443
you wish to,441
you need to,438
if you do,426
you may unsubscribe,401
nbsp nbsp nbsp,400
if you wish,396
verify your email,396
the link below,394
all of our,393
to receive these,388
you want to,388
le ebillet est,381
votre n de,381
reply to this,379
you do not,377
click on the,375
receive these emails,370
work from home,365
you no longer,359
copy and paste,357
longer wish to,356
we are committed,356
are committed to,356
no longer wish,354
report the user,346
for all of,346
if you no,343
let me know,339
of our employees,338
the practice of,338
follow us on,336
committed to the,336
and safety of,336
safety of our,336
the health and,335
we have instituted,335
pvt ltd network,334
pm to praveen,334
am to praveen,334
sent wednesday june,334
wednesday june 22,334
june 22 2022,334
laptop replacement sure,334
replacement sure guddy,334
pm to guddy,334
praveen antal general,334
antal general manager,334
pyramid consulting inc,334
consulting inc o,334
inc o 1,334
o 1 770,334
1 770 255,334
770 255 3136,334
255 3136 us,334
3136 us voip,334
us voip extn,334
voip extn 6110,334
extn 6110 m,334
6110 m 91,334
m 91 9999,334
91 9999 10,334
10 6666 e,334
6666 e web,334
e web follow,334
web follow us,334
us on linkedin,334
celebrating our silver,334
our silver jubilee,334
silver jubilee 1996,334
to the health,334
health and safety,334
clients and the,334
and the communities,334
the communities we,334
communities we serve,334
we serve to,334
serve to protect,334
to protect everyone,334
protect everyone we,334
everyone we have,334
have instituted work,334
instituted work from,334
from home policies,334
home policies for,334
policies for all,334
of our teams,334
our teams and,334
teams and encourage,334
and encourage the,334
encourage the practice,334
practice of social,334
of social distancing,334
sent 21 june,334
21 june 2022,334
regards harendra kumar,332
harendra kumar mob,332
kumar mob 8383063372,332
mob 8383063372 pyramid,332
8383063372 pyramid it,332
ltd network management,332
network management group,332
facebook celebrating our,332
and we will,331
on from praveen,330
antal sent june,330
general manager administration,330
manager administration pyramid,330
administration pyramid consulting,330
on linkedin facebook,330
linkedin facebook celebrating,330
jubilee 1996 2021,330
1996 2021 at,330
2021 at pyramid,330
at pyramid consulting,330
pyramid consulting we,330
consulting we are,330
our employees contractors,330
employees contractors clients,330
contractors clients and,330
social distancing from,330
please click here,329
in the future,327
you have been,315
within this email,312
these emails you,307
may unsubscribe by,307
at any time,305
a lot of,305
of the securities,301
the microsoft account,300
this message is,297
orders for report,296
be able to,294
is not a,293
unsubscribe by clicking,290
to verify your,290
all rights reserved,289
for you to,289
not wish to,286
and paste this,285
paste this link,284
emails you may,283
the u s,283
there is no,280
this is an,275
that this is,275
risks and uncertainties,273
remove in the,272
the subject line,272
you for your,271
on the link,271
if you want,271
by clicking here,269
the united states,269
due to the,266
in the app,261
this is the,260
in order to,260
next of kin,260
email address or,260
en cas de,260
securities act of,258
as soon as,257
the publisher of,256
nous vous remercions,255
vous remercions de,255
the meaning of,255
reset your password,254
voyager par train,254
par train muni,254
train muni de,254
muni de votre,254
nous vous informons,254
vous informons que,254
remercions de votre,254
de votre confiance,254
address or enter,254
or enter your,254
within the meaning,254
received this email,253
me know if,252
are based on,252
the securities act,252
removed from our,251
or by writing,249
by writing to,248
and you will,248
know if you,244
if you would,242
publisher of this,241
computron me com,241
this email is,240
you received this,236
email in error,235
to unsubscribe from,234
this is not,233
of this newsletter,232
for more information,231
as well as,231
statements within the,231
act of 1933,230
do not wish,229
this email in,227
to this email,226
and may be,225
the use of,225
one of our,225
it will be,223
name and address,222
into your account,220
you have any,218
into your browser,218
on the web,217
are receiving this,217
log in to,215
my name is,214
want you to,214
please click on,214
sent to you,213
click here for,213
a number of,212
que n o,211
or if you,210
you would like,210
in the world,209
within 24 hours,209
part of our,208
you are receiving,206
account from a,202
a new device,202
act of 1934,202
within this report,202
from a new,201
link below to,201
we need to,200
logged into your,199
take advantage of,199
in your name,199
of this report,199
in error please,197
in compliance with,197
just logged into,196
was sent to,196
to opt out,195
this is your,195
as low as,195
you have received,192
to inform you,191
de sa de,191
you receive this,191
im wert von,190
you have a,190
hallo phishing pot,189
as a result,187
here or by,186
enter your email,186
to be a,186
forward ooking statements,185
www computron me,185
clicking here or,183
you don t,183
to deposit the,183
is sponsored by,182
this message was,181
will get the,181
email is sponsored,181
receiving this email,179
we will get,179
in addition to,178
the email address,178
will come to,178
y o u,177
on the net,177
19 jul 2005,177
in the next,176
please click the,175
due to some,173
at the time,172
unable to work,172
i will come,172
do not reply,171
that there are,171
my husband is,171
once you receive,171
please do not,170
you can get,170
you did not,170
please find below,170
exchange act of,170
to confirm your,168
you are not,168
to replace your,168
the few minutes,168
to pick the,168
your complete address,168
temple 3 ragga,168
3 ragga dagga,168
our mailing list,167
few minutes couid,167
minutes couid saveyou,167
couid saveyou hundreds,167
saveyou hundreds mail,167
we will share,167
will share allocation,167
share allocation details,167
allocation details shortly,167
details shortly regards,167
management group from,167
group from guddy,167
kumari sent thursday,167
sent thursday july,167
thursday july 7,167
july 7 2022,167
7 2022 6,167
2022 6 41,167
6 41 pm,167
41 pm to,167
replacement hi harendra,167
hi harendra as,167
harendra as discussed,167
as discussed pls,167
discussed pls courier,167
pls courier laptop,167
courier laptop on,167
laptop on my,167
on my current,167
collect current one,167
current one as,167
one as some,167
as some function,167
some function are,167
function are not,167
are not working,167
not working unable,167
working unable to,167
pls provide asap,167
provide asap c,167
asap c o,167
c o niraj,167
o niraj kumar,167
niraj kumar panchsheel,167
kumar panchsheel hynish,167
panchsheel hynish tower,167
hynish tower 4,167
tower 4 106,167
4 106 near,167
106 near hanuman,167
near hanuman mandir,167
hanuman mandir noida,167
mandir noida extension,167
noida extension 201305,167
extension 201305 8800144117,167
201305 8800144117 thanks,167
8800144117 thanks guddy,167
thanks guddy from,167
guddy from guddy,167
kumari sent saturday,167
sent saturday june,167
saturday june 25,167
june 25 2022,167
25 2022 8,167
2022 8 17,167
8 17 am,167
17 am to,167
replacement hi sir,167
hi sir my,167
sir my husband,167
husband is there,167
is there to,167
there to pick,167
pick the laptop,167
the laptop kindly,167
laptop kindly handover,167
kindly handover to,167
handover to him,167
to him thanks,167
him thanks guddi,167
thanks guddi from,167
guddi from praveen,167
antal sent wednesday,167
22 2022 5,167
2022 5 34,167
5 34 am,167
34 am to,167
am to guddy,167
sure guddy thanks,167
guddy thanks regards,167
praveen antal gm,167
antal gm administration,167
gm administration pyramid,167
administration pyramid it,167
pvt ltd mobile,167
ltd mobile 9999,167
mobile 9999 10,167
10 6666 from,167
6666 from guddy,167
kumari sent wednesday,167
22 2022 9,167
2022 9 41,167
9 41 48,167
41 48 am,167
48 am to,167
here that can,167
that can i,167
can i come,167
i come tomorrow,167
come tomorrow as,167
tomorrow as today,167
as today is,167
today is quite,167
is quite urgent,167
quite urgent work,167
kumari sent june,167
2022 5 33,167
5 33 pm,167
33 pm to,167
2022 5 32,167
5 32 pm,167
32 pm to,167
nmg team has,167
team has already,167
has already assigned,167
already assigned in,167
assigned in your,167
kumari sent 21,167
june 2022 08,167
2022 08 01,167
08 01 to,167
01 to praveen,167
come to office,167
to office by,167
office by tomorrow,167
by tomorrow morning,167
tomorrow morning to,167
morning to return,167
to return laptop,167
to issue new,167
issue new laptop,167
new laptop at,167
laptop at same,167
at same time,167
2022 5 02,167
5 02 pm,167
02 pm to,167
subject fw laptop,167
fw laptop replacement,167
to some technical,167
some technical issue,167
technical issue we,167
issue we need,167
need to replace,167
replace your laptop,167
pls let me,167
you are based,167
are based locally,167
based locally and,167
locally and can,167
and can collect,167
can collect laptop,167
collect laptop from,167
laptop from noida,167
else pls share,167
pls share your,167
share your complete,167
complete address with,167
address with pin,167
with pin code,167
pin code with,167
code with mobile,167
with mobile number,167
send laptop through,167
laptop through courier,167
through courier and,167
courier and we,167
get the pickup,167
the pickup done,167
pickup done also,167
done also of,167
also of your,167
of your old,167
your old laptop,167
receive this laptop,167
this laptop you,167
laptop you need,167
need to deposit,167
deposit the old,167
the old one,167
pls treat this,167
treat this urgent,167
from harendra kumar,167
harendra kumar sent,167
kumar sent 21,167
june 2022 05,167
2022 05 10,167
05 10 to,167
10 to praveen,167
antal cc anil,167
cc anil lanba,167
anil lanba naveen,167
lanba naveen gupta,167
naveen gupta manish,167
gupta manish jhanjee,167
vikas saxena admin,167
saxena admin admin,167
noida inventory nmg,167
inventory nmg nmg,167
subject re sez,167
re sez assets,167
sez assets in,167
assets in noida,167
in noida hi,167
noida hi sir,167
hi sir please,167
sir please find,167
find below new,167
below new laptop,167
new laptop allocation,167
laptop allocation details,167
pavlab banerjee and,167
banerjee and guddy,167
and guddy kumari,167
guddy kumari pavlab,167
kumari pavlab banerjee,167
pavlab banerjee 6118,167
banerjee 6118 usstaffing,167
6118 usstaffing thinkbook,167
usstaffing thinkbook 14,167
thinkbook 14 lr0dw8r9,167
14 lr0dw8r9 pyd,167
lr0dw8r9 pyd l,167
pyd l 696,167
l 696 21jun22,167
696 21jun22 guddy,167
21jun22 guddy kumari,167
guddy kumari 2450,167
kumari 2450 rmg,167
2450 rmg thinkpad,167
rmg thinkpad l480,167
thinkpad l480 pg01f21r,167
l480 pg01f21r pyd,167
pg01f21r pyd l,167
pyd l 406,167
l 406 21jun22,167
406 21jun22 note,167
21jun22 note pavlab,167
note pavlab and,167
pavlab and guddy,167
and guddy kindly,167
guddy kindly submit,167
kindly submit your,167
laptop on priority,167
on priority regards,167
priority regards harendra,167
this link to,166
phishing pot phishing,166
your name thanks,166
securities exchange act,166
screen and maxwidth,165
contained in this,165
from this list,165
hundreds mail acknowledges,165
mail acknowledges we,165
acknowledges we will,165
shortly regards harendra,165
my current collect,165
current collect current,165
to work pls,165
work pls provide,165
hi praveen requesting,165
praveen requesting here,165
requesting here that,165
urgent work can,165
work can t,165
can t come,165
t come pls,165
come pls confirm,165
pls confirm warm,165
confirm warm regards,165
on from guddy,165
hi praveen thanks,165
praveen thanks warm,165
thanks warm regards,165
sure guddy nmg,165
guddy nmg team,165
name thanks regards,165
distancing from guddy,165
hi praveen i,165
praveen i will,165
return laptop requesting,165
laptop requesting to,165
requesting to issue,165
same time warm,165
time warm regards,165
admin subject fw,165
replacement hi guddy,165
hi guddy due,165
guddy due to,165
your laptop pls,165
laptop pls let,165
from noida office,165
noida office else,165
office else pls,165
mobile number to,165
number to send,165
to send laptop,165
old laptop once,165
laptop once you,165
old one pls,165
one pls treat,165
this urgent thanks,165
urgent thanks regards,165
distancing from harendra,165
manish jhanjee manish,165
jhanjee manish vikas,165
manish vikas saxena,165
admin admin noida,165
admin noida inventory,165
nmg nmg subject,165
nmg subject re,165
allocation details for,165
details for pavlab,165
for pavlab banerjee,165
submit your current,165
your current laptop,165
current laptop on,165
if you did,164
a total of,164
the end of,164
the fact that,164
some of the,163
of the company,163
a third party,163
number of risks,161
your account from,160
and section 21,160
the securities exchange,160
of the material,160
look forward to,159
below to confirm,159
statements are made,159
differ materially from,159
may be identified,159
the material within,159
material within this,159
of these companies,159
that you can,158
you will receive,158
please enter your,157
a of the,157
ragga dagga tm,157
microsoft account unusual,156
if this was,156
microsoft account team,156
to you in,156
from our mailing,156
meaning of section,156
of section 27,156
words such as,156
to stop future,156
on the list,156
activity in the,155
with respect to,155
statements are based,155
account phishing pot,154
be aware of,154
to your account,154
associated with your,154
none of the,154
conflict of interest,154
if this wasnt,153
this wasnt you,153
the time the,153
of 1933 and,153
use of words,153
of words such,153
in your country,152
your name and,152
there s a,152
as long as,152
to phishing pot,152
about a recent,151
to the microsoft,151
new device if,151
where you receive,151
click below to,151
compliance with the,151
activity we detected,150
we detected something,150
detected something unusual,150
something unusual about,150
unusual about a,150
a recent signin,150
recent signin to,150
signin to the,150
microsoft account phishing,150
signin details country,150
details country region,150
