word,count
the,67799
to,61406
and,45576
a,45386
of,39840
you,38804
your,28027
in,26645
o,23589
for,23558
this,21738
is,20336
de,19488
i,14903
on,13576
e,13470
that,13101
from,12888
s,12838
we,12585
with,12532
as,12205
it,11924
or,11723
are,11666
our,11434
be,10928
will,9961
email,9908
have,9787
not,8771
do,8627
que,8535
n,8047
if,7917
at,7878
no,7764
all,7671
by,7600
can,7512
com,6965
here,6782
1,6457
an,5944
please,5710
m,5619
my,5429
t,5273
click,5244
2,5124
more,5048
r,5028
free,4843
3,4762
5,4711
us,4561
get,4529
000,4489
out,4392
information,4317
any,4298
one,4236
address,4233
has,4175
company,4125
um,4084
new,4042
money,4009
now,3998
em,3991
para,3962
time,3923
me,3822
was,3788
00,3774
only,3771
business,3728
4,3585
sie,3578
report,3546
noida,3503
da,3408
10,3403
http,3356
0,3351
just,3335
list,3314
account,3298
os,3246
laptop,3223
may,3201
up,3188
se,3178
nmg,3173
20,3120
d,3087
inventory,3049
uma,3031
admin,3006
guddy,3004
mail,3002
make,2993
l,2991
receive,2989
about,2963
how,2944
order,2861
but,2847
p,2829
over,2803
these,2799
es,2782
so,2759
send,2758
name,2754
been,2752
por,2703
subject,2699
sent,2652
f,2631
there,2619
people,2592
c,2569
they,2560
re,2556
100,2504
praveen,2499
web,2476
u,2440
its,2439
best,2437
what,2437
need,2335
like,2331
am,2315
within,2311
work,2305
which,2299
into,2284
also,2270
en,2257
their,2205
want,2202
7,2184
other,2179
home,2172
link,2149
emails,2145
internet,2136
message,2133
remove,2130
below,2105
program,2083
online,2069
phishing,2067
would,2062
regards,2053
votre,2044
who,2036
thanks,2028
price,2019
statements,2008
antal,2004
software,1981
pot,1977
www,1974
6,1948
use,1936
when,1919
le,1916
mais,1915
see,1912
future,1883
site,1880
50,1873
ou,1872
na,1862
know,1846
vous,1820
offer,1797
today,1777
number,1770
through,1769
than,1760
sua,1758
some,1754
consulting,1748
b,1738
important,1738
unsubscribe,1729
hi,1727
como,1726
them,1717
team,1693
pyramid,1681
contact,1671
kumari,1670
million,1668
8,1655
come,1648
est,1646
inc,1637
service,1614
ncia,1600
cc,1592
2022,1590
security,1586
day,1586
many,1577
21,1567
yourself,1563
june,1553
most,1548
investment,1544
way,1523
could,1522
h,1522
first,1517
take,1516
go,1510
save,1502
each,1484
help,1480
y,1474
seu,1466
v,1448
voc,1445
every,1443
available,1442
9,1441
made,1424
find,1424
very,1422
25,1412
before,1403
product,1401
because,1400
then,1400
ao,1392
after,1390
dos,1379
days,1374
code,1373
und,1364
wish,1360
replacement,1360
la,1346
credit,1340
30,1337
next,1337
g,1334
were,1331
he,1317
x,1307
even,1305
phone,1297
received,1293
products,1292
per,1289
ser,1280
thank,1273
net,1272
details,1270
check,1267
looking,1266
500,1260
marketing,1257
his,1256
current,1254
much,1253
well,1248
24,1241
forward,1235
had,1234
addresses,1233
technology,1233
should,1232
das,1231
99,1228
news,1227
services,1227
market,1226
world,1223
life,1222
website,1219
companies,1217
year,1207
easy,1197
system,1196
those,1192
call,1191
such,1188
ltd,1177
stock,1174
kumar,1169
w,1164
own,1161
years,1159
without,1150
bank,1148
based,1145
br,1134
does,1130
start,1126
12,1122
back,1120
95,1118
2023,1117
office,1117
mailing,1111
where,1107
special,1104
good,1099
15,1097
securities,1096
visit,1093
hours,1081
cash,1079
reply,1074
right,1073
few,1064
pr,1064
microsoft,1059
k,1058
die,1053
total,1049
must,1043
follow,1038
dollars,1030
date,1021
pls,1017
let,1015
act,1013
government,1009
pvt,1007
orders,1006
verify,996
sure,991
info,989
following,988
adobe,988
provide,986
interest,983
read,980
color,977
fax,974
customer,973
great,972
high,969
mas,967
computer,966
line,959
form,957
zu,956
et,952
nous,951
buy,951
two,951
password,949
change,948
pontos,946
international,946
being,942
removed,940
user,937
complete,935
due,935
11,934
access,933
part,928
share,926
full,925
des,923
low,923
pour,922
prices,921
professional,920
60,918
using,916
claim,909
results,909
financial,905
look,901
card,900
sales,899
including,897
offers,896
country,895
same,893
group,889
cost,888
month,886
dont,884
once,884
keep,881
never,877
seus,873
week,871
vel,870
while,869
copy,865
pay,862
build,861
opportunity,860
dear,859
2005,855
support,854
state,853
under,848
health,848
off,848
te,846
again,846
der,842
2004,839
give,836
pm,831
management,830
programs,829
further,828
size,823
real,822
du,820
windows,818
90,818
letter,816
transaction,803
page,796
states,793
40,790
top,788
cd,785
ele,783
her,783
ve,783
stop,783
22,780
reports,779
3d,778
font,777
customers,775
simple,774
minutes,773
chance,772
ll,772
note,771
working,771
search,769
last,769
limited,768
did,767
enter,764
include,762
ebillet,762
rio,759
really,758
united,756
