ngram,phish_count,clean_count,phish_freq,clean_freq,phish_score
language,65.0,16871.0,2.8610389004455298e-05,0.0025414007605673904,-4.452738815304492
university,117.0,17237.0,5.149870020801954e-05,0.002596533987902324,-3.9015293963908793
english,52.0,6650.0,2.288831120356424e-05,0.0010017376004844494,-3.7370998707406424
conference,122.0,8032.0,5.3699499362208405e-05,0.0012099182567054281,-3.097279683660274
hou,82.0,5280.0,3.609310612869745e-05,0.0007953645910613373,-3.0666259762391856
1998,109.0,5604.0,4.7977421561317347e-05,0.0008441710546037374,-2.848179630900467
discussion,50.0,2531.0,2.200799154188869e-05,0.00038126283711671297,-2.8102668133619537
session,50.0,2495.0,2.200799154188869e-05,0.00037583989672311296,-2.795978806197655
submission,56.0,2059.0,2.4648950526915334e-05,0.0003101620630672904,-2.4958112239126913
students,54.0,1981.0,2.3768630865239785e-05,0.000298412358881157,-2.492243781898535
committee,64.0,2329.0,2.8170229173617525e-05,0.0003508341160192906,-2.490011162878697
analysis,84.0,2912.0,3.6973425790373e-05,0.0004386556229489799,-2.449105151565066
spanish,51.0,1520.0,2.2448151372726463e-05,0.00022896859439644558,-2.283151094432245
studies,80.0,2272.0,3.5212786467021906e-05,0.0003422477937294239,-2.249040343250304
french,59.0,1658.0,2.5969430019428653e-05,0.0002497565325719123,-2.2297784755792476
meeting,97.0,2614.0,4.269550359126406e-05,0.00039376572746862415,-2.2010472897752447
seems,55.0,1497.0,2.4208790696077558e-05,0.00022550393803386776,-2.195569560401157
2001,196.0,5187.0,8.627132684420367e-05,0.0007813553283778705,-2.193287056501103
john,143.0,3752.0,6.294285580980166e-05,0.0005651908987996473,-2.1809414918343992
science,91.0,2406.0,4.005454460623742e-05,0.0003624331829722684,-2.1806939255060307
1999,92.0,2431.0,4.049470443707519e-05,0.00036619911380115735,-2.1803384301792024
div,208.0,5391.0,9.155324481425696e-05,0.0008120853239416039,-2.1730519550121192
jones,58.0,1522.0,2.552927018859088e-05,0.0002292698688627567,-2.1610033051157136
approach,56.0,1333.0,2.4648950526915334e-05,0.00020079943179635655,-2.062771636588696
aspects,52.0,1188.0,2.288831120356424e-05,0.0001789570329888009,-2.019328848455048
student,60.0,1350.0,2.640958985026643e-05,0.00020336026476000098,-2.0089914933231277
learning,75.0,1626.0,3.301198731283304e-05,0.00024493614111093453,-1.9783588827502094
issues,126.0,2700.0,5.54601386855595e-05,0.00040672052952000197,-1.977047083860791
dow,53.0,1154.0,2.3328471034402012e-05,0.00017383536706151197,-1.972197459473446
april,80.0,1711.0,3.5212786467021906e-05,0.0002577403059291568,-1.9664126050834383
dir,120.0,2472.0,5.281917970053286e-05,0.00037237524036053517,-1.9369540166404684
role,62.0,1292.0,2.7289909511941976e-05,0.00019462330523697873,-1.933685711211306
france,63.0,1281.0,2.773006934277975e-05,0.0001929662956722676,-1.9097401237316978
formal,51.0,1032.0,2.2448151372726463e-05,0.0001554576246165341,-1.8979935450269063
copies,67.0,1336.0,2.9490708666130844e-05,0.0002012513434958232,-1.8920891953590517
author,87.0,1706.0,3.829390528288632e-05,0.00025698711976337903,-1.881840235289266
1994,59.0,1158.0,2.5969430019428653e-05,0.0001744379159941342,-1.8725812222459728
ac,144.0,2763.0,6.338301564063943e-05,0.00041621067520880204,-1.8687414445094384
august,121.0,2303.0,5.325933953137063e-05,0.0003469175479572461,-1.8581903856810182
applied,57.0,1100.0,2.5089110357753107e-05,0.0001657009564711119,-1.8546835278267535
nl,52.0,1004.0,2.288831120356424e-05,0.00015123978208817851,-1.8520675232938544
september,109.0,2040.0,4.7977421561317347e-05,0.0003072999556373348,-1.8397137835436925
topic,74.0,1392.0,3.257182748199526e-05,0.00020968702855253435,-1.8366865078688621
1995,131.0,2435.0,5.766093783974837e-05,0.00036680166273377957,-1.8357697817721574
presentation,73.0,1368.0,3.2131667651157485e-05,0.000206071734956801,-1.8325757272844396
paper,226.0,4100.0,9.947612176933688e-05,0.0006176126559377808,-1.8175592141081338
study,99.0,1806.0,4.357582325293961e-05,0.00027205084307893465,-1.8124663837118316
submitted,58.0,1067.0,2.552927018859088e-05,0.00016072992777697856,-1.8076791727059314
germany,79.0,1403.0,3.477262663618413e-05,0.00021134403811724547,-1.7810247987927645
society,72.0,1279.0,3.1691507820319716e-05,0.0001926650212059565,-1.7790146273019287
dept,51.0,891.0,2.2448151372726463e-05,0.00013421777474160066,-1.7520949658844238
james,61.0,1054.0,2.6849749681104203e-05,0.00015877164374595632,-1.7469215909663336
research,356.0,5962.0,0.00015669689977824747,0.0008980991840734266,-1.740718520705835
groups,59.0,1014.0,2.5969430019428653e-05,0.00015274615441973407,-1.7405988914149537
areas,86.0,1454.0,3.785374545204855e-05,0.00021902653700817885,-1.7339436816436318
movement,53.0,877.0,2.3328471034402012e-05,0.00013210885347742288,-1.6995199286656708
written,77.0,1245.0,3.3892306974508584e-05,0.00018754335527866757,-1.6870616075399616
schedule,71.0,1137.0,3.125134798948194e-05,0.0001712745340978675,-1.6755294923384614
room,70.0,1090.0,3.081118815864417e-05,0.00016419458413955635,-1.6473060200935796
particular,91.0,1398.0,4.005454460623742e-05,0.0002105908519514677,-1.63975292749186
tuesday,82.0,1256.0,3.609310612869745e-05,0.0001892003648433787,-1.6346469346051153
corp,163.0,2451.0,7.174605242655713e-05,0.00036921185846426846,-1.6271007898134326
97,79.0,1197.0,3.477262663618413e-05,0.00018031276808720087,-1.6230405586370955
david,140.0,2088.0,6.162237631728834e-05,0.00031453054282880153,-1.6171328215996839
mark,119.0,1773.0,5.237901986969508e-05,0.00026707981438480133,-1.6138669686106797
steve,57.0,863.0,2.5089110357753107e-05,0.00012999993221324507,-1.6136788061522032
journal,99.0,1479.0,4.357582325293961e-05,0.00022279246783706776,-1.61352750701699
professor,79.0,1162.0,3.477262663618413e-05,0.00017504046492675641,-1.5935309011330943
rather,96.0,1402.0,4.225534376042629e-05,0.00021119340088408993,-1.590377346229403
1997,84.0,1219.0,3.6973425790373e-05,0.00018362678721662313,-1.5814498272760127
between,274.0,3877.0,0.00012060379364955002,0.0005840205529440918,-1.5708788130311315
capacity,59.0,814.0,2.5969430019428653e-05,0.00012261870778862283,-1.5224978880286253
paris,72.0,970.0,3.1691507820319716e-05,0.0001461181161608896,-1.5041204309439284
model,94.0,1257.0,4.137502409875074e-05,0.00018935100207653427,-1.5023106128015775
mary,54.0,728.0,2.3768630865239785e-05,0.00010966390573724498,-1.4969197637165184
russian,57.0,766.0,2.5089110357753107e-05,0.00011538812059715612,-1.4954124737710626
october,124.0,1635.0,5.457981902388395e-05,0.0002462918762093345,-1.4927491558740955
martin,58.0,767.0,2.552927018859088e-05,0.00011553875783031168,-1.4799752440567584
models,71.0,923.0,3.125134798948194e-05,0.00013903816620257847,-1.4683551606973557
michael,112.0,1441.0,4.929790105383067e-05,0.00021706825297715661,-1.4668447531557838
relevant,76.0,984.0,3.345214714367081e-05,0.0001482270374250674,-1.465897565443763
texas,102.0,1313.0,4.4896302745452925e-05,0.0001977866871332454,-1.465847762235426
2000,346.0,4387.0,0.00015229530146986973,0.0006608455418534255,-1.462666072093067
amsterdam,61.0,787.0,2.6849749681104203e-05,0.0001185515024934228,-1.4569232835117971
sense,77.0,986.0,3.3892306974508584e-05,0.0001485283118913785,-1.4552193777208378
february,92.0,1173.0,4.049470443707519e-05,0.00017669747449146754,-1.4545167076875973
london,123.0,1543.0,5.413965919304618e-05,0.00023243325075902337,-1.4430269474356852
break,123.0,1536.0,5.413965919304618e-05,0.00023137879012693447,-1.4384995314795288
george,57.0,715.0,2.5089110357753107e-05,0.00010770562170622274,-1.4271255108257275
concerns,54.0,678.0,2.3768630865239785e-05,0.00010213204407946717,-1.4264321804839921
cases,71.0,884.0,3.125134798948194e-05,0.00013316331410951176,-1.4254979793829288
paul,96.0,1187.0,4.225534376042629e-05,0.00017880639575564532,-1.424759912004621
interesting,76.0,943.0,3.345214714367081e-05,0.00014205091086568958,-1.4236292650456275
november,102.0,1250.0,4.4896302745452925e-05,0.00018829654144444536,-1.4169302241988493
articles,60.0,734.0,2.640958985026643e-05,0.00011056772913617831,-1.403738895988895
lee,50.0,615.0,2.200799154188869e-05,9.264189839066713e-05,-1.4036363017825182
native,78.0,947.0,3.433246680534636e-05,0.0001426534597983118,-1.4026015892859154
description,75.0,909.0,3.301198731283304e-05,0.00013692924493840066,-1.4000278053316315
summer,99.0,1192.0,4.357582325293961e-05,0.0001795595819214231,-1.3988691845341878
machine,107.0,1274.0,4.70971018996418e-05,0.00019191183504017873,-1.3890113475407793
robert,121.0,1435.0,5.325933953137063e-05,0.00021616442957822328,-1.3868796717287692
recognition,52.0,625.0,2.288831120356424e-05,9.414827072222268e-05,-1.3820471510265133
focus,119.0,1401.0,5.237901986969508e-05,0.00021104276365093436,-1.379370187234012
uk,317.0,3684.0,0.0001395306663755743,0.0005549475669450694,-1.3752482547724838
rating,59.0,698.0,2.5969430019428653e-05,0.0001051447887425783,-1.37010009055528
said,467.0,5363.0,0.00020555464100124036,0.0008078674814132484,-1.3650701154863274
california,168.0,1939.0,7.3946851580746e-05,0.00029208559508862365,-1.3636854830243983
chairman,60.0,695.0,2.640958985026643e-05,0.00010469287704311162,-1.3496445554815326
berlin,53.0,616.0,2.3328471034402012e-05,9.279253562382268e-05,-1.3494379632650517
book,322.0,3642.0,0.00014173146552976318,0.000548620803152536,-1.3482635901981264
likely,69.0,794.0,3.0371028327806393e-05,0.0001196059631255117,-1.3466439262783012
phrase,62.0,704.0,2.7289909511941976e-05,0.00010604861214151163,-1.330777863649552
word,264.0,2921.0,0.00011620219534117228,0.0004400113580473799,-1.325170021777218
southern,51.0,578.0,2.2448151372726463e-05,8.706832076391154e-05,-1.3233212265090195
discuss,116.0,1287.0,5.105854037718176e-05,0.00019387011907120094,-1.319964418750215
smith,66.0,727.0,2.905054883529307e-05,0.00010951326850408943,-1.3022546658251481
construction,75.0,818.0,3.301198731283304e-05,0.00012322125672124506,-1.295351273476233
attached,138.0,1488.0,6.074205665561279e-05,0.00022414820293546777,-1.2937935350057892
rules,94.0,1017.0,4.137502409875074e-05,0.00015319806611920075,-1.2916787852680294
aug,65.0,708.0,2.8610389004455298e-05,0.00010665116107413385,-1.2907707297608633
examples,120.0,1291.0,5.281917970053286e-05,0.00019447266800382319,-1.2897906603980498
british,52.0,559.0,2.288831120356424e-05,8.420621333395597e-05,-1.2716850893084783
preferred,57.0,611.0,2.5089110357753107e-05,9.203934945804489e-05,-1.2715045165258492
association,101.0,1066.0,4.4456142914615156e-05,0.00016057929054382302,-1.268248016171585
rule,57.0,596.0,2.5089110357753107e-05,8.977979096071156e-05,-1.2469186947309885
scientific,57.0,591.0,2.5089110357753107e-05,8.902660479493376e-05,-1.2385872358865102
although,105.0,1074.0,4.621678223796625e-05,0.00016178438840906746,-1.2376771693914819
applications,171.0,1728.0,7.526733107325933e-05,0.0002603011388928013,-1.231428848656685
knowledge,183.0,1848.0,8.05492490433126e-05,0.000278377606871468,-1.2313571759263
proposed,73.0,746.0,3.2131667651157485e-05,0.000112375375934045,-1.2302146726429735
case,348.0,3474.0,0.00015317562113154528,0.0005233137479824025,-1.223997911216936
chinese,105.0,1056.0,4.621678223796625e-05,0.00015907291821226743,-1.2208800649574916
seem,81.0,816.0,3.5652946297859676e-05,0.00012291998225493395,-1.2181422376903435
published,139.0,1384.0,6.118221648645056e-05,0.0002084819306872899,-1.2145684356522803
early,133.0,1319.0,5.854125750142392e-05,0.00019869051053217874,-1.2100992450318862
clearly,59.0,591.0,2.5969430019428653e-05,8.902660479493376e-05,-1.205401232424478
feature,93.0,921.0,4.0934864267912965e-05,0.00013873689173626736,-1.2036437459787699
european,170.0,1662.0,7.482717124242155e-05,0.00025035908150453453,-1.1984258323175325
school,198.0,1924.0,8.715164650587922e-05,0.0002898260365912903,-1.1936666888841037
whether,189.0,1831.0,8.319020802833925e-05,0.0002758167739078236,-1.1902772010000822
comments,104.0,1014.0,4.577662240712848e-05,0.00015274615441973407,-1.189919337563543
march,189.0,1816.0,8.319020802833925e-05,0.00027355721541049024,-1.1820810539555802
