ngram,phish_count,clean_count,phish_freq,clean_freq,phish_score
message from,50,1567,5.12692734016035e-05,0.000557097,-2.36812431
department of,70,2064,7.17769827622449e-05,0.00073379,-2.312184602
original message,54,1472,5.537081527373178e-05,0.000523323,-2.230156126
e g,64,1530,6.562466995405247e-05,0.000543943,-2.101606175
i think,79,1549,8.100545197453353e-05,0.000550698,-1.906214688
be sent,69,1203,7.075159729421283e-05,0.000427688,-1.78752037
also be,61,843,6.254851354995626e-05,0.000299702,-1.554315795
to discuss,52,670,5.3320044337667636e-05,0.000238197,-1.482395176
the netherlands,61,685,6.254851354995626e-05,0.00024353,-1.347534443
the two,60,668,6.15231280819242e-05,0.000237486,-1.338774915
the other,113,1220,0.000115869,0.000433732,-1.313680536
would be,277,2942,0.000284032,0.001045935,-1.301021212
for example,83,885,8.510699384666181e-05,0.000314634,-1.298991616
the state,57,610,5.8446971677827984e-05,0.000216866,-1.298796164
might be,82,871,8.408160837862974e-05,0.000309656,-1.295076614
it would,98,1032,0.000100488,0.000366895,-1.287858808
should be,343,3575,0.000351707,0.001270978,-1.282689996
if there,59,621,6.0497742613892126e-05,0.000220777,-1.282671196
group ilug,57,595,5.8446971677827984e-05,0.000211533,-1.274014319
ilug for,57,594,5.8446971677827984e-05,0.000211178,-1.272340154
the second,88,911,9.023392118682215e-05,0.000323877,-1.270020309
please let,87,878,8.920853571879009e-05,0.000312145,-1.244542407
is also,70,701,7.17769827622449e-05,0.000249218,-1.234934019
i dont,78,773,7.998006650650145e-05,0.000274816,-1.225529565
as in,54,529,5.537081527373178e-05,0.000188069,-1.210161323
in which,105,970,0.000107665,0.000344853,-1.157738894
version of,77,712,7.895468103846938e-05,0.000253129,-1.156382045
work in,50,462,5.12692734016035e-05,0.000164249,-1.15104739
new york,209,1890,0.000214306,0.00067193,-1.139582361
working on,54,484,5.537081527373178e-05,0.000172071,-1.121749429
and their,67,594,6.870082635814869e-05,0.000211178,-1.113212663
it may,52,462,5.3320044337667636e-05,0.000164249,-1.112562783
contact the,56,491,5.742158620979592e-05,0.000174559,-1.100292389
and information,60,515,6.15231280819242e-05,0.000183092,-1.079898589
case of,65,556,6.665005542208455e-05,0.000197668,-1.0772877
be made,69,581,7.075159729421283e-05,0.000206556,-1.062191608
in that,54,450,5.537081527373178e-05,0.000159983,-1.049348568
north america,72,589,7.382775369830904e-05,0.0002094,-1.033822854
such a,81,636,8.305622291059767e-05,0.00022611,-0.9939469
so far,56,437,5.742158620979592e-05,0.000155361,-0.984485071
development of,97,753,9.946239039911079e-05,0.000267705,-0.983831636
research and,66,512,6.767544089011662e-05,0.000182025,-0.980233027
i e,125,956,0.000128173,0.000339875,-0.970363185
natural gas,94,719,9.638623399501458e-05,0.000255618,-0.968902302
couple of,64,481,6.562466995405247e-05,0.000171004,-0.948444465
he is,62,466,6.357389901798833e-05,0.000165672,-0.948214591
site http,50,376,5.12692734016035e-05,0.000133675,-0.946454796
are also,80,592,8.20308374425656e-05,0.000210467,-0.934856001
by email,99,731,0.000101513,0.000259884,-0.934084104
if we,76,561,7.792929557043731e-05,0.000199446,-0.931991163
in its,68,502,6.972621182618076e-05,0.00017847,-0.931192755
but the,115,845,0.000117919,0.000300413,-0.930035846
where the,69,508,7.075159729421283e-05,0.000180603,-0.928614406
types of,64,470,6.562466995405247e-05,0.000167094,-0.925445948
linux users,88,643,9.023392118682215e-05,0.000228598,-0.922904249
information list,87,632,8.920853571879009e-05,0.000224688,-0.91702744
irish linux,87,631,8.920853571879009e-05,0.000224332,-0.91545093
list maintainer,87,629,8.920853571879009e-05,0.000223621,-0.912290435
un subscription,87,629,8.920853571879009e-05,0.000223621,-0.912290435
maintainer listmaster,87,629,8.920853571879009e-05,0.000223621,-0.912290435
provide a,67,484,6.870082635814869e-05,0.000172071,-0.90948882
users group,88,634,9.023392118682215e-05,0.000225399,-0.908870305
of natural,54,390,5.537081527373178e-05,0.000138652,-0.907202934
to it,52,375,5.3320044337667636e-05,0.000133319,-0.905326871
