two_words,count
of the,7152
in the,6027
if you,5248
to the,3734
on the,3576
you can,3498
click here,3444
noida inventory,3002
n o,2845
to be,2743
this is,2666
will be,2374
you are,2329
you have,2294
of this,2210
for the,2124
is a,2024
here to,2013
you will,2006
this email,2004
praveen antal,2004
for a,1986
we are,1929
of our,1901
email address,1880
of your,1834
with the,1825
and the,1814
phishing pot,1794
for your,1725
guddy kumari,1670
we have,1653
your email,1590
to you,1565
nmg nmg,1503
inventory noida,1501
admin admin,1490
i am,1478
the company,1477
it is,1475
to your,1466
to receive,1463
from our,1453
you to,1443
http www,1441
for you,1416
in this,1368
subject re,1342
cc nmg,1336
inventory admin,1336
laptop replacement,1336
do not,1325
is the,1323
nmg noida,1322
admin subject,1320
from the,1247
in your,1246
how to,1226
thank you,1223
wish to,1212
re laptop,1169
your account,1163
is not,1159
want to,1134
as a,1132
that you,1119
to make,1093
i have,1092
one of,1085
to remove,1084
with a,1072
this message,1069
we will,1060
to get,1060
up to,1037
at the,1036
by the,1033
on your,1029
o de,1022
need to,1014
pvt ltd,1007
you may,1006
pyramid it,1002
to praveen,1002
antal cc,1002
replacement hi,1002
it consulting,999
consulting pvt,998
have been,982
in a,967
e mail,945
yourself from,935
the internet,935
remove yourself,930
has been,919
f r,897
have a,886
the best,875
u s,873
s o,857
you do,851
you need,850
be removed,838
our emails,837
that the,835
from guddy,835
kumari sent,835
e web,835
this report,835
into your,831
the following,830
like to,827
and i,826
of a,824
emails list,823
all of,812
br br,812
you for,796
please click,796
a new,793
with your,789
nous vous,786
de votre,778
may be,774
you want,771
are not,769
it s,766
your name,765
to send,765
o que,763
from a,760
to do,752
to this,751
i will,749
there is,745
due to,741
all the,741
and we,737
and you,734
to our,708
does not,691
pm to,691
as the,689
3d 3d,689
within this,687
that is,683
in our,682
is an,679
don t,675
this program,671
2022 5,668
can be,665
pyramid consulting,664
the most,659
the next,657
based on,654
below to,644
email addresses,636
le ebillet,635
of these,635
for all,630
the world,623
this link,620
looking statements,616
there are,606
mailing list,605
your own,594
to a,592
part of,592
would like,590
i was,589
company s,588
and a,587
not be,587
act of,580
removed from,578
to see,571
that i,569
have to,567
de um,563
a few,562
the link,560
and your,559
the subject,557
a free,553
e a,552
united states,552
get the,551
you receive,549
we can,547
out of,544
that this,543
am to,543
forward looking,541
s a,539
is to,537
000 000,536
on a,536
that will,534
the money,534
to verify,534
numero 4,529
verify your,527
able to,524
your business,524
for free,524
do you,522
warm regards,519
more than,511
can build,510
you wish,508
the first,506
you the,506
web technology,506
reply to,505
thanks regards,504
of my,503
you and,501
harendra kumar,501
from praveen,501
to guddy,501
kumari cc,501
regards praveen,501
9999 10,501
10 6666,501
regards guddy,501
guddy n,501
n kumar,501
kumar pyramid,501
ltd team,501
team lead,501
lead rmg,501
rmg m,501
m 8800144117,501
8800144117 e,501
technology strength,501
strength you,501
build on,501
sent june,501
june 21,501
21 2022,501
on from,498
within the,497
to unsubscribe,497
antal sent,497
administration pyramid,497
out the,496
hi praveen,495
if this,494
thousands of,493
click on,492
for more,491
enter your,491
it will,491
que o,485
sent to,485
let me,485
way to,483
web site,483
nbsp nbsp,482
de uma,481
to help,479
no longer,479
received this,479
the same,475
microsoft account,474
the time,474
the information,467
the email,467
000 00,465
such as,464
que a,462
n de,461
to use,460
from home,458
from this,455
the securities,455
will not,454
about the,454
what you,452
to protect,450
into the,450
your website,450
the future,449
when you,445
with this,440
not a,440
to have,439
welcome to,438
over the,437
time to,437
you would,437
use of,437
investment advice,437
help you,434
t o,432
through the,430
e o,426
are based,426
are you,424
are the,422
at least,422
in error,420
go to,420
the new,418
link below,418
and other,417
get a,417
tamb m,414
send out,411
your computer,409
name and,408
you in,408
i m,406
receive these,404
link to,404
by clicking,403
have the,403
best regards,402
is no,402
access to,401
may unsubscribe,401
email is,398
i can,398
k nnen,398
ready to,398
these emails,397
you must,397
number of,396
o e,394
and paste,394
committed to,393
bulk email,393
to work,391
o n,390
24 hours,389
on this,389
for any,388
click the,388
to find,388
be a,387
the health,386
3 d,385
a lot,384
looking for,382
you no,382
com a,382
to take,381
of all,381
ebillet est,381
votre n,381
are a,380
is your,380
message is,380
work from,380
must be,379
that can,378
find out,376
us on,374
health and,373
because you,373
the user,371
o 1,370
as well,369
you get,369
